Wall time,Step,Value
1754003853.8717635,0,-0.38805970549583435
1754003897.055105,1,-0.38805970549583435
1754003940.1116114,2,-0.38805970549583435
1754003982.8947034,3,-0.38805970549583435
1754004026.95854,4,-0.38805970549583435
1754004070.1654763,5,-0.38805970549583435
1754004113.5036721,6,-0.38805970549583435
1754004156.2062497,7,-0.38805970549583435
1754004201.159688,8,-0.38805970549583435
1754004247.5800974,9,-0.38805970549583435
1754004292.7326303,10,-0.38805970549583435
1754004336.2669606,11,-0.41379314661026
1754004380.4468424,12,-0.41379314661026
1754004423.0250483,13,-0.5
1754004464.7807982,14,-0.5
1754004506.8110254,15,-0.52173912525177
1754004548.2040763,16,-0.52173912525177
1754004588.597169,17,-0.52173912525177
1754004629.7635674,18,-0.52173912525177
1754004673.7571578,19,-0.52173912525177
1754004717.5590541,20,-0.52173912525177
1754004760.4055297,21,-0.52173912525177
1754004803.1897435,22,-0.52173912525177
1754004847.5532913,23,-0.52173912525177
1754004889.7210271,24,-0.52173912525177
1754004933.4248672,25,-0.52173912525177
1754004976.9957364,26,-0.5625
1754005021.4102046,27,-0.5625
1754005066.4412506,28,-0.5625
1754005117.186046,29,-0.5625
1754005161.5332677,30,-0.5625
1754005204.5595627,31,-0.5625
1754005249.9145033,32,-0.5625
1754005292.664145,33,-0.5625
1754005340.6014664,34,-0.5625
1754005383.8497217,35,-0.5625
1754005428.04904,36,-0.5625
1754005471.623581,37,-0.5625
1754005517.2667696,38,-0.5625
1754005558.788207,39,-0.5625
1754005603.1173587,40,-0.5625
1754005653.876943,41,-0.5625
1754005702.7863765,42,-0.5625
1754005744.6725264,43,-0.5625
1754005788.864888,44,-0.5625
1754005831.7341876,45,-0.5625
1754005878.392838,46,-0.5625
1754005924.052825,47,-0.5625
1754005971.2866018,48,-0.5625
1754006014.6616662,49,-0.5625
1754006058.498608,50,-0.5625
1754006100.6080778,51,-0.5625
1754006146.9575012,52,-0.5625
1754006197.5588424,53,-0.5625
1754006246.5968416,54,-0.5625
1754006289.9933062,55,-0.6060605645179749
1754006335.8270764,56,-0.6060605645179749
1754006381.3041964,57,-0.6060605645179749
1754006427.457564,58,-0.6060605645179749
1754006474.7867785,59,-0.6060605645179749
1754006519.2681575,60,-0.6060605645179749
1754006568.6143277,61,-0.6060605645179749
1754006614.6244252,62,-0.6060605645179749
1754006658.9033227,63,-0.6060605645179749
1754006703.0109215,64,-0.6060605645179749
1754006773.4112437,65,-0.6060605645179749
1754006820.8928058,66,-0.6060605645179749
1754006868.3533604,67,-0.6060605645179749
1754006915.9575691,68,-0.6060605645179749
1754006960.3094916,69,-0.6060605645179749
1754007008.2882333,70,-0.6060605645179749
1754007050.801879,71,-0.6060605645179749
1754007093.6136267,72,-0.6060605645179749
1754007136.51654,73,-0.6060605645179749
1754007181.2379935,74,-0.6060605645179749
1754007224.1036744,75,-0.6060605645179749
1754007271.7335105,76,-0.6060605645179749
1754007317.7494469,77,-0.6060605645179749
1754007359.7308307,78,-0.6060605645179749
1754007404.974337,79,-0.6060605645179749
1754007448.4873831,80,-0.6060605645179749
1754007488.711734,81,-0.6060605645179749
1754007529.5279777,82,-0.6060605645179749
1754007571.1837716,83,-0.6060605645179749
1754007616.5617626,84,-0.6060605645179749
1754007662.476983,85,-0.6060605645179749
1754007708.7667975,86,-0.6060605645179749
1754007755.3345168,87,-0.6060605645179749
1754007807.5338855,88,-0.6060605645179749
1754007855.2669077,89,-0.6060605645179749
1754007902.744654,90,-0.6060605645179749
1754007949.1805801,91,-0.6060605645179749
1754007995.344796,92,-0.6060605645179749
1754008044.6644974,93,-0.6060605645179749
1754008092.0998921,94,-0.6060605645179749
1754008140.3759995,95,-0.6060605645179749
1754008187.6742728,96,-0.6060605645179749
1754008233.21917,97,-0.6060605645179749
1754008282.375059,98,-0.6060605645179749
1754008328.6453888,99,-0.6060605645179749
