"Step","cube-single-play-singletask-task2-v0_baseline - train/loss","cube-single-play-singletask-task2-v0_baseline - train/loss__MIN","cube-single-play-singletask-task2-v0_baseline - train/loss__MAX","cube-single-play-singletask-task2-v0_baseline - val/loss","cube-single-play-singletask-task2-v0_baseline - val/loss__MIN","cube-single-play-singletask-task2-v0_baseline - val/loss__MAX"
"0","0.10283036530017853","0.10283036530017853","0.10283036530017853","0.10316158831119537","0.10316158831119537","0.10316158831119537"
"1","0.04818359389901161","0.04818359389901161","0.04818359389901161","","",""
"3","0.028515856713056564","0.028515856713056564","0.028515856713056564","","",""
"4","0.024421175941824913","0.024421175941824913","0.024421175941824913","","",""
"5","0.022262757644057274","0.022262757644057274","0.022262757644057274","","",""
"6","0.019398100674152374","0.019398100674152374","0.019398100674152374","","",""
"7","0.01954139769077301","0.01954139769077301","0.01954139769077301","","",""
"10","0.015097621828317642","0.015097621828317642","0.015097621828317642","","",""
"11","0.014545273035764694","0.014545273035764694","0.014545273035764694","","",""
"12","0.01783546432852745","0.01783546432852745","0.01783546432852745","","",""
"16","0.012200918979942799","0.012200918979942799","0.012200918979942799","","",""
"17","0.009447362273931503","0.009447362273931503","0.009447362273931503","","",""
"20","0.011892651207745075","0.011892651207745075","0.011892651207745075","","",""
"22","0.011822408996522427","0.011822408996522427","0.011822408996522427","","",""
"26","0.009954020380973816","0.009954020380973816","0.009954020380973816","","",""
"27","0.010366302914917469","0.010366302914917469","0.010366302914917469","","",""
"29","0.009719239547848701","0.009719239547848701","0.009719239547848701","","",""
"30","0.009849702939391136","0.009849702939391136","0.009849702939391136","","",""
"31","0.008734997361898422","0.008734997361898422","0.008734997361898422","","",""
"32","0.00977403111755848","0.00977403111755848","0.00977403111755848","","",""
"34","0.012561319395899773","0.012561319395899773","0.012561319395899773","","",""
"36","0.0075931972824037075","0.0075931972824037075","0.0075931972824037075","","",""
"40","0.009549896232783794","0.009549896232783794","0.009549896232783794","","",""
"41","0.011215141974389553","0.011215141974389553","0.011215141974389553","","",""
"44","0.011420099064707756","0.011420099064707756","0.011420099064707756","","",""
"47","0.010854545049369335","0.010854545049369335","0.010854545049369335","","",""
"48","0.008153720758855343","0.008153720758855343","0.008153720758855343","","",""
"49","0.007331047207117081","0.007331047207117081","0.007331047207117081","","",""
"50","0.00965942069888115","0.00965942069888115","0.00965942069888115","","",""
"51","0.00963343121111393","0.00963343121111393","0.00963343121111393","","",""
"52","0.008210835978388786","0.008210835978388786","0.008210835978388786","","",""
"55","0.008174492977559566","0.008174492977559566","0.008174492977559566","","",""
"57","0.00912492536008358","0.00912492536008358","0.00912492536008358","","",""
"58","0.008466568775475025","0.008466568775475025","0.008466568775475025","","",""
"59","0.010398607701063156","0.010398607701063156","0.010398607701063156","","",""
"61","0.008560385555028915","0.008560385555028915","0.008560385555028915","","",""
"62","0.00857540126889944","0.00857540126889944","0.00857540126889944","","",""
"68","0.008532765321433544","0.008532765321433544","0.008532765321433544","","",""
"69","0.009306337684392929","0.009306337684392929","0.009306337684392929","","",""
"71","0.007861687801778316","0.007861687801778316","0.007861687801778316","","",""
"72","0.009737242944538593","0.009737242944538593","0.009737242944538593","","",""
"73","0.007856224663555622","0.007856224663555622","0.007856224663555622","","",""
"75","0.010312894359230995","0.010312894359230995","0.010312894359230995","","",""
"76","0.008861953392624855","0.008861953392624855","0.008861953392624855","","",""
"81","0.007122349925339222","0.007122349925339222","0.007122349925339222","","",""
"82","0.009654290042817593","0.009654290042817593","0.009654290042817593","","",""
"85","0.008682355284690857","0.008682355284690857","0.008682355284690857","","",""
"89","0.009219604544341564","0.009219604544341564","0.009219604544341564","","",""
"90","0.010085728019475937","0.010085728019475937","0.010085728019475937","","",""
"91","0.008711831644177437","0.008711831644177437","0.008711831644177437","","",""
"92","0.009229111485183239","0.009229111485183239","0.009229111485183239","","",""
"93","0.00997319258749485","0.00997319258749485","0.00997319258749485","","",""
"96","0.010042821057140827","0.010042821057140827","0.010042821057140827","","",""
"97","0.006137420888990164","0.006137420888990164","0.006137420888990164","","",""
"98","0.008164803497493267","0.008164803497493267","0.008164803497493267","","",""
"100","","","","0.008460191078484058","0.008460191078484058","0.008460191078484058"
