"Step","cube-single-play-singletask-task2-v0_multistep - train/loss","cube-single-play-singletask-task2-v0_multistep - train/loss__MIN","cube-single-play-singletask-task2-v0_multistep - train/loss__MAX","cube-single-play-singletask-task2-v0_multistep - val/loss","cube-single-play-singletask-task2-v0_multistep - val/loss__MIN","cube-single-play-singletask-task2-v0_multistep - val/loss__MAX"
"0","2012.0364990234375","2012.0364990234375","2012.0364990234375","2011.7862548828125","2011.7862548828125","2011.7862548828125"
"2","424.4416198730469","424.4416198730469","424.4416198730469","","",""
"3","313.8587951660156","313.8587951660156","313.8587951660156","","",""
"4","384.91510009765625","384.91510009765625","384.91510009765625","","",""
"7","189.37754821777344","189.37754821777344","189.37754821777344","","",""
"8","155.63394165039062","155.63394165039062","155.63394165039062","","",""
"10","97.68006896972656","97.68006896972656","97.68006896972656","","",""
"12","56.102333068847656","56.102333068847656","56.102333068847656","","",""
"15","32.193965911865234","32.193965911865234","32.193965911865234","","",""
"18","22.0766658782959","22.0766658782959","22.0766658782959","","",""
"19","19.212167739868164","19.212167739868164","19.212167739868164","","",""
"23","13.225872039794922","13.225872039794922","13.225872039794922","","",""
"24","11.654776573181152","11.654776573181152","11.654776573181152","","",""
"26","9.917823791503906","9.917823791503906","9.917823791503906","","",""
"28","8.473604202270508","8.473604202270508","8.473604202270508","","",""
"29","8.026829719543457","8.026829719543457","8.026829719543457","","",""
"30","7.398955345153809","7.398955345153809","7.398955345153809","","",""
"33","5.739813804626465","5.739813804626465","5.739813804626465","","",""
"34","5.585336208343506","5.585336208343506","5.585336208343506","","",""
"35","5.261533737182617","5.261533737182617","5.261533737182617","","",""
"41","4.033636093139648","4.033636093139648","4.033636093139648","","",""
"45","3.4702863693237305","3.4702863693237305","3.4702863693237305","","",""
"48","3.4458112716674805","3.4458112716674805","3.4458112716674805","","",""
"49","3.2284929752349854","3.2284929752349854","3.2284929752349854","","",""
"50","3.4420461654663086","3.4420461654663086","3.4420461654663086","","",""
"51","3.3793911933898926","3.3793911933898926","3.3793911933898926","","",""
"57","2.8168108463287354","2.8168108463287354","2.8168108463287354","","",""
"60","2.631624698638916","2.631624698638916","2.631624698638916","","",""
"62","2.6372578144073486","2.6372578144073486","2.6372578144073486","","",""
"64","2.5498154163360596","2.5498154163360596","2.5498154163360596","","",""
"68","2.735842704772949","2.735842704772949","2.735842704772949","","",""
"69","2.831244468688965","2.831244468688965","2.831244468688965","","",""
"71","2.9089956283569336","2.9089956283569336","2.9089956283569336","","",""
"72","3.050542116165161","3.050542116165161","3.050542116165161","","",""
"73","3.0516536235809326","3.0516536235809326","3.0516536235809326","","",""
"74","3.0203027725219727","3.0203027725219727","3.0203027725219727","","",""
"76","2.8216121196746826","2.8216121196746826","2.8216121196746826","","",""
"81","2.957576274871826","2.957576274871826","2.957576274871826","","",""
"88","3.381516695022583","3.381516695022583","3.381516695022583","","",""
"89","2.9203193187713623","2.9203193187713623","2.9203193187713623","","",""
"90","2.9469687938690186","2.9469687938690186","2.9469687938690186","","",""
"91","2.8659327030181885","2.8659327030181885","2.8659327030181885","","",""
"93","2.5138747692108154","2.5138747692108154","2.5138747692108154","","",""
"96","2.3547401428222656","2.3547401428222656","2.3547401428222656","","",""
"98","2.451176166534424","2.451176166534424","2.451176166534424","","",""
"100","2.4621615409851074","2.4621615409851074","2.4621615409851074","2.406524658203125","2.406524658203125","2.406524658203125"
"104","2.253523826599121","2.253523826599121","2.253523826599121","","",""
"105","2.233346939086914","2.233346939086914","2.233346939086914","","",""
