Wall time,Step,Value
1754008806.911491,0,-0.6754385828971863
1754008851.8013287,1,-0.6754385828971863
1754008895.2336893,2,-0.7443946599960327
1754008937.6403787,3,-0.7443946599960327
1754008981.5692976,4,-0.7443946599960327
1754009025.0029514,5,-0.7510204911231995
1754009073.5525942,6,-0.8270041942596436
1754009121.1096106,7,-0.8270041942596436
1754009165.0953002,8,-0.8270041942596436
1754009209.5241733,9,-0.8270041942596436
1754009251.5985034,10,-0.8270041942596436
1754009296.890584,11,-0.8270041942596436
1754009344.5761123,12,-0.8270041942596436
1754009390.7876291,13,-0.8270041942596436
1754009435.9841044,14,-0.8270041942596436
1754009480.8494372,15,-0.8270041942596436
1754009534.4863262,16,-0.8270041942596436
1754009578.6066413,17,-0.8270041942596436
1754009623.626934,18,-0.8270041942596436
1754009670.1679704,19,-0.8504672646522522
1754009716.4440892,20,-0.8504672646522522
1754009762.4967582,21,-0.8504672646522522
1754009808.1677,22,-0.8504672646522522
1754009853.0011525,23,-0.8504672646522522
1754009900.870152,24,-0.8504672646522522
1754009947.4819355,25,-0.8504672646522522
1754009993.4228954,26,-0.8504672646522522
1754010043.3610697,27,-0.8597285151481628
1754010088.2128966,28,-0.8597285151481628
1754010137.713573,29,-0.8597285151481628
1754010185.8186064,30,-0.8597285151481628
1754010234.8282108,31,-0.8597285151481628
1754010286.744047,32,-0.8597285151481628
1754010336.0845387,33,-0.8837209343910217
1754010387.735285,34,-0.8837209343910217
1754010434.2742288,35,-0.8837209343910217
1754010482.592297,36,-0.8837209343910217
1754010533.5454702,37,-0.8837209343910217
1754010583.7161705,38,-0.8837209343910217
1754010642.420841,39,-0.8837209343910217
1754010687.507332,40,-0.8837209343910217
1754010862.0364552,41,-0.8837209343910217
1754010909.1163716,42,-0.8837209343910217
1754010960.278458,43,-0.8837209343910217
1754011006.1033857,44,-0.8837209343910217
1754011050.5437374,45,-0.8837209343910217
1754011092.8847811,46,-0.8837209343910217
1754011146.1281087,47,-0.8837209343910217
1754011202.3115652,48,-0.8837209343910217
1754011250.2214727,49,-0.8837209343910217
1754011294.315398,50,-0.8952381014823914
1754011338.9371178,51,-0.8952381014823914
1754011384.4318302,52,-0.8952381014823914
1754011433.5837753,53,-0.8952381014823914
1754011478.7664773,54,-0.8952381014823914
1754011524.4659498,55,-0.8952381014823914
1754011567.934839,56,-0.8952381014823914
1754011612.671572,57,-0.8952381014823914
1754011655.8964198,58,-0.8952381014823914
1754011707.9596214,59,-0.8952381014823914
1754011752.369864,60,-0.8952381014823914
1754011798.4853637,61,-0.8952381014823914
1754011846.876937,62,-0.8952381014823914
1754011890.9446251,63,-0.8952381014823914
1754011933.9734693,64,-0.8952381014823914
1754011979.4260917,65,-0.8952381014823914
1754012025.157274,66,-0.8952381014823914
1754012072.4783077,67,-0.8952381014823914
1754012125.8085282,68,-0.8952381014823914
1754012175.2165666,69,-0.8952381014823914
1754012220.6534662,70,-0.8952381014823914
1754012265.8373127,71,-0.8952381014823914
1754012318.219018,72,-0.8952381014823914
1754012363.9607089,73,-0.8952381014823914
1754012411.7818522,74,-0.8952381014823914
1754012459.102452,75,-0.8952381014823914
1754012506.6697834,76,-0.8952381014823914
1754012552.0382552,77,-0.8952381014823914
1754012601.099086,78,-0.8952381014823914
1754012650.162096,79,-0.8952381014823914
1754012698.0141714,80,-0.8952381014823914
1754012748.798084,81,-0.8952381014823914
1754012793.347029,82,-0.8952381014823914
1754012839.9428427,83,-0.8952381014823914
1754012884.4359415,84,-0.8952381014823914
1754012931.8917105,85,-0.8952381014823914
1754012978.8333037,86,-0.8952381014823914
1754013030.2396576,87,-0.8952381014823914
1754013074.1906512,88,-0.8952381014823914
1754013125.7895818,89,-0.8952381014823914
1754013170.9073431,90,-0.8952381014823914
1754013215.2204142,91,-0.9090909957885742
1754013260.28519,92,-0.9090909957885742
1754013308.890097,93,-0.9090909957885742
1754013354.578358,94,-0.9090909957885742
1754013400.8850071,95,-0.9090909957885742
1754013447.3329709,96,-0.9090909957885742
1754013495.3572164,97,-0.9090909957885742
1754013542.6190317,98,-0.9090909957885742
1754016141.8912067,99,-0.9090909957885742
