,seed,alpha,step,success
0,6890,117.6300704169779,20000,0.36
1,6890,117.6300704169779,40000,0.72
2,6890,117.6300704169779,60000,0.74
3,6890,117.6300704169779,80000,0.78
4,6890,117.6300704169779,100000,0.58
5,6890,117.6300704169779,120000,0.66
6,6890,117.6300704169779,140000,0.86
7,6890,117.6300704169779,160000,0.88
8,6890,117.6300704169779,180000,0.8
9,6890,117.6300704169779,200000,0.94
10,6890,117.6300704169779,220000,0.96
11,6890,117.6300704169779,240000,0.9
12,6890,117.6300704169779,260000,0.96
13,6890,117.6300704169779,280000,0.82
14,6890,117.6300704169779,300000,1.0
15,6890,117.6300704169779,320000,0.86
16,6890,117.6300704169779,340000,0.98
17,6890,117.6300704169779,360000,0.92
18,6890,117.6300704169779,380000,0.98
19,6890,117.6300704169779,400000,0.88
20,6890,117.6300704169779,420000,0.92
21,6890,117.6300704169779,440000,0.94
22,6890,117.6300704169779,460000,0.96
23,6890,117.6300704169779,480000,0.96
24,6890,117.6300704169779,500000,0.96
25,6890,117.6300704169779,520000,1.0
26,6890,117.6300704169779,540000,0.96
27,6890,117.6300704169779,560000,0.94
28,6890,117.6300704169779,580000,0.9
29,6890,117.6300704169779,600000,0.92
30,6890,117.6300704169779,620000,0.92
31,6890,117.6300704169779,640000,0.9
32,6890,117.6300704169779,660000,0.94
33,6890,117.6300704169779,680000,1.0
34,6890,117.6300704169779,700000,0.94
35,6890,117.6300704169779,720000,0.96
36,6890,117.6300704169779,740000,0.96
37,6890,117.6300704169779,760000,0.92
38,6890,117.6300704169779,780000,0.98
39,6890,117.6300704169779,800000,0.96
40,6890,117.6300704169779,820000,0.9
41,6890,117.6300704169779,840000,0.94
42,6890,117.6300704169779,860000,0.94
43,6890,117.6300704169779,880000,0.84
44,6890,117.6300704169779,900000,0.88
45,6890,117.6300704169779,920000,0.98
46,6890,117.6300704169779,940000,0.92
47,6890,117.6300704169779,960000,0.98
48,6890,117.6300704169779,980000,0.9
49,6890,117.6300704169779,1000000,1.0
50,6311,5.529520066356138,20000,0.0
51,6311,5.529520066356138,40000,0.0
52,6311,5.529520066356138,60000,0.0
53,6311,5.529520066356138,80000,0.0
54,6311,5.529520066356138,100000,0.0
55,6311,5.529520066356138,120000,0.0
56,6311,5.529520066356138,140000,0.0
57,6311,5.529520066356138,160000,0.0
58,6311,5.529520066356138,180000,0.0
59,6311,5.529520066356138,200000,0.0
60,6311,5.529520066356138,220000,0.0
61,6311,5.529520066356138,240000,0.0
62,6311,5.529520066356138,260000,0.0
63,6311,5.529520066356138,280000,0.0
64,6311,5.529520066356138,300000,0.0
65,6311,5.529520066356138,320000,0.0
66,6311,5.529520066356138,340000,0.0
67,6311,5.529520066356138,360000,0.0
68,6311,5.529520066356138,380000,0.0
69,6311,5.529520066356138,400000,0.0
70,6311,5.529520066356138,420000,0.0
71,6311,5.529520066356138,440000,0.0
72,6311,5.529520066356138,460000,0.0
73,6311,5.529520066356138,480000,0.0
74,6311,5.529520066356138,500000,0.0
75,6311,5.529520066356138,520000,0.0
76,6311,5.529520066356138,540000,0.0
77,6311,5.529520066356138,560000,0.0
78,6311,5.529520066356138,580000,0.0
79,6311,5.529520066356138,600000,0.0
80,6311,5.529520066356138,620000,0.0
81,6311,5.529520066356138,640000,0.0
82,6311,5.529520066356138,660000,0.0
83,6311,5.529520066356138,680000,0.0
84,6311,5.529520066356138,700000,0.0
85,6311,5.529520066356138,720000,0.0
86,6311,5.529520066356138,740000,0.0
87,6311,5.529520066356138,760000,0.0
88,6311,5.529520066356138,780000,0.0
89,6311,5.529520066356138,800000,0.0
90,6311,5.529520066356138,820000,0.0
91,6311,5.529520066356138,840000,0.0
92,6311,5.529520066356138,860000,0.0
93,6311,5.529520066356138,880000,0.0
94,6311,5.529520066356138,900000,0.0
95,6311,5.529520066356138,920000,0.0
96,6311,5.529520066356138,940000,0.0
97,6311,5.529520066356138,960000,0.0
98,6311,5.529520066356138,980000,0.0
99,6311,5.529520066356138,1000000,0.0
100,6311,117.6300704169779,20000,0.3
101,6311,117.6300704169779,40000,0.64
102,6311,117.6300704169779,60000,0.8
103,6311,117.6300704169779,80000,0.74
104,6311,117.6300704169779,100000,0.78
105,6311,117.6300704169779,120000,0.64
106,6311,117.6300704169779,140000,0.9
107,6311,117.6300704169779,160000,0.84
108,6311,117.6300704169779,180000,0.78
109,6311,117.6300704169779,200000,0.88
110,6311,117.6300704169779,220000,0.9
111,6311,117.6300704169779,240000,0.92
112,6311,117.6300704169779,260000,0.92
113,6311,117.6300704169779,280000,0.92
114,6311,117.6300704169779,300000,0.96
115,6311,117.6300704169779,320000,0.98
116,6311,117.6300704169779,340000,0.84
117,6311,117.6300704169779,360000,0.96
118,6311,117.6300704169779,380000,0.94
119,6311,117.6300704169779,400000,0.82
120,6311,117.6300704169779,420000,0.86
121,6311,117.6300704169779,440000,0.94
122,6311,117.6300704169779,460000,0.92
123,6311,117.6300704169779,480000,0.96
124,6311,117.6300704169779,500000,1.0
125,6311,117.6300704169779,520000,0.96
126,6311,117.6300704169779,540000,0.92
127,6311,117.6300704169779,560000,0.98
128,6311,117.6300704169779,580000,0.96
129,6311,117.6300704169779,600000,0.88
130,6311,117.6300704169779,620000,1.0
131,6311,117.6300704169779,640000,0.98
132,6311,117.6300704169779,660000,0.88
133,6311,117.6300704169779,680000,0.98
134,6311,117.6300704169779,700000,1.0
135,6311,117.6300704169779,720000,0.96
136,6311,117.6300704169779,740000,0.98
137,6311,117.6300704169779,760000,0.88
138,6311,117.6300704169779,780000,0.9
139,6311,117.6300704169779,800000,0.96
140,6311,117.6300704169779,820000,0.94
141,6311,117.6300704169779,840000,0.98
142,6311,117.6300704169779,860000,0.94
143,6311,117.6300704169779,880000,0.94
144,6311,117.6300704169779,900000,0.88
145,6311,117.6300704169779,920000,0.82
146,6311,117.6300704169779,940000,1.0
147,6311,117.6300704169779,960000,0.96
148,6311,117.6300704169779,980000,0.92
149,6311,117.6300704169779,1000000,0.94
150,6890,18.785372268095553,20000,0.0
151,6890,18.785372268095553,40000,0.0
152,6890,18.785372268095553,60000,0.0
153,6890,18.785372268095553,80000,0.0
154,6890,18.785372268095553,100000,0.0
155,6890,18.785372268095553,120000,0.0
156,6890,18.785372268095553,140000,0.0
157,6890,18.785372268095553,160000,0.0
158,6890,18.785372268095553,180000,0.0
159,6890,18.785372268095553,200000,0.0
160,6890,18.785372268095553,220000,0.0
161,6890,18.785372268095553,240000,0.0
162,6890,18.785372268095553,260000,0.02
163,6890,18.785372268095553,280000,0.04
164,6890,18.785372268095553,300000,0.0
165,6890,18.785372268095553,320000,0.0
166,6890,18.785372268095553,340000,0.02
167,6890,18.785372268095553,360000,0.06
168,6890,18.785372268095553,380000,0.02
169,6890,18.785372268095553,400000,0.06
170,6890,18.785372268095553,420000,0.12
171,6890,18.785372268095553,440000,0.18
172,6890,18.785372268095553,460000,0.12
173,6890,18.785372268095553,480000,0.06
174,6890,18.785372268095553,500000,0.24
175,6890,18.785372268095553,520000,0.16
176,6890,18.785372268095553,540000,0.26
177,6890,18.785372268095553,560000,0.18
178,6890,18.785372268095553,580000,0.22
179,6890,18.785372268095553,600000,0.24
180,6890,18.785372268095553,620000,0.28
181,6890,18.785372268095553,640000,0.34
182,6890,18.785372268095553,660000,0.46
183,6890,18.785372268095553,680000,0.38
184,6890,18.785372268095553,700000,0.3
185,6890,18.785372268095553,720000,0.36
186,6890,18.785372268095553,740000,0.38
187,6890,18.785372268095553,760000,0.42
188,6890,18.785372268095553,780000,0.56
189,6890,18.785372268095553,800000,0.4
190,6890,18.785372268095553,820000,0.4
191,6890,18.785372268095553,840000,0.44
192,6890,18.785372268095553,860000,0.32
193,6890,18.785372268095553,880000,0.54
194,6890,18.785372268095553,900000,0.44
195,6890,18.785372268095553,920000,0.46
196,6890,18.785372268095553,940000,0.48
197,6890,18.785372268095553,960000,0.46
198,6890,18.785372268095553,980000,0.48
199,6890,18.785372268095553,1000000,0.62
200,6890,1000.0,20000,0.04
201,6890,1000.0,40000,0.8
202,6890,1000.0,60000,0.9
203,6890,1000.0,80000,0.78
204,6890,1000.0,100000,0.94
