,seed,alpha,step,success
0,6890,86.64335589204947,20000,0.0
1,6890,86.64335589204947,40000,0.0
2,6890,86.64335589204947,60000,0.0
3,6890,86.64335589204947,80000,0.0
4,6890,86.64335589204947,100000,0.06
5,6890,86.64335589204947,120000,0.0
6,6890,86.64335589204947,140000,0.04
7,6890,86.64335589204947,160000,0.0
8,6890,86.64335589204947,180000,0.0
9,6890,86.64335589204947,200000,0.0
10,6890,86.64335589204947,220000,0.04
11,6890,86.64335589204947,240000,0.0
12,6890,86.64335589204947,260000,0.02
13,6890,86.64335589204947,280000,0.0
14,6890,86.64335589204947,300000,0.0
15,6890,86.64335589204947,320000,0.02
16,6890,86.64335589204947,340000,0.0
17,6890,86.64335589204947,360000,0.02
18,6890,86.64335589204947,380000,0.04
19,6890,86.64335589204947,400000,0.08
20,6890,86.64335589204947,420000,0.08
21,6890,86.64335589204947,440000,0.04
22,6890,86.64335589204947,460000,0.02
23,6890,86.64335589204947,480000,0.02
24,6890,86.64335589204947,500000,0.04
25,6890,86.64335589204947,520000,0.04
26,6890,86.64335589204947,540000,0.0
27,6890,86.64335589204947,560000,0.0
28,6890,86.64335589204947,580000,0.0
29,6890,86.64335589204947,600000,0.02
30,6890,86.64335589204947,620000,0.0
31,6890,86.64335589204947,640000,0.0
32,6890,86.64335589204947,660000,0.04
33,6890,86.64335589204947,680000,0.0
34,6890,86.64335589204947,700000,0.06
35,6890,86.64335589204947,720000,0.02
36,6890,86.64335589204947,740000,0.0
37,6890,86.64335589204947,760000,0.02
38,6890,86.64335589204947,780000,0.0
39,6890,86.64335589204947,800000,0.02
40,6890,86.64335589204947,820000,0.0
41,6890,86.64335589204947,840000,0.02
42,6890,86.64335589204947,860000,0.0
43,6890,86.64335589204947,880000,0.04
44,6890,86.64335589204947,900000,0.02
45,6890,86.64335589204947,920000,0.0
46,6890,86.64335589204947,940000,0.0
47,6890,86.64335589204947,960000,0.04
48,6890,86.64335589204947,980000,0.02
49,6890,86.64335589204947,1000000,0.06
50,6890,736.574887568408,20000,0.0
51,6890,736.574887568408,40000,0.0
